iter	Passed	Remaining
0	2	1838
1	4	1822
2	6	1841
3	9	1805
4	11	1840
5	13	1766
6	15	1769
7	18	1818
8	21	1851
9	23	1847
10	25	1841
11	27	1818
12	29	1803
13	32	1809
14	34	1819
15	37	1816
16	39	1805
17	41	1803
18	43	1794
19	45	1785
20	48	1783
21	50	1777
22	52	1764
23	55	1786
24	57	1786
25	59	1775
26	61	1762
27	63	1753
28	65	1748
29	67	1741
30	69	1732
31	71	1721
32	73	1713
33	75	1703
34	77	1698
35	79	1690
36	81	1687
37	84	1686
38	86	1680
39	88	1673
40	90	1669
41	92	1664
42	94	1656
43	95	1648
44	98	1646
45	100	1640
46	101	1634
47	103	1627
48	105	1621
49	107	1616
50	109	1612
51	111	1606
52	113	1605
53	115	1601
54	117	1596
55	119	1593
56	121	1589
57	123	1584
58	125	1578
59	127	1573
60	129	1573
61	131	1569
62	133	1565
63	135	1561
64	137	1557
65	139	1552
66	141	1548
67	143	1543
68	145	1540
69	147	1539
70	149	1536
71	151	1533
72	153	1531
73	155	1528
74	157	1524
75	160	1524
76	162	1523
77	164	1520
78	166	1517
79	168	1514
80	170	1511
81	172	1508
82	174	1504
83	176	1501
84	178	1501
85	180	1499
86	182	1496
87	184	1492
88	186	1488
89	188	1485
90	191	1489
91	193	1492
92	197	1499
93	200	1503
94	203	1507
95	205	1508
96	207	1506
97	209	1504
98	212	1504
99	214	1500
100	216	1496
101	218	1494
102	220	1491
103	222	1487
104	224	1483
105	226	1482
106	228	1479
107	230	1475
108	232	1472
109	234	1470
110	236	1468
111	238	1465
112	240	1463
113	242	1456
114	244	1453
115	245	1450
116	247	1447
117	250	1445
118	252	1442
119	253	1439
120	256	1436
121	258	1434
122	260	1431
123	262	1428
124	264	1425
125	266	1423
126	268	1420
127	270	1417
128	272	1415
129	274	1412
130	276	1409
131	278	1407
132	280	1405
133	282	1402
134	284	1399
135	285	1396
136	287	1393
137	289	1389
138	291	1388
139	293	1385
140	296	1385
141	299	1387
142	301	1385
143	303	1382
144	305	1379
145	307	1379
146	310	1377
147	312	1375
148	314	1372
149	315	1369
150	317	1366
151	319	1363
152	321	1360
153	323	1358
154	326	1356
155	328	1356
156	331	1355
157	333	1353
158	335	1350
159	337	1348
160	339	1346
161	341	1344
162	343	1341
163	345	1339
164	347	1337
165	349	1334
166	351	1331
167	353	1328
168	355	1326
169	357	1323
170	359	1321
171	361	1318
172	363	1316
173	365	1313
174	367	1310
175	368	1308
176	371	1306
177	373	1304
178	375	1301
179	377	1299
180	379	1297
181	381	1294
182	383	1291
183	385	1289
184	387	1287
185	389	1286
186	391	1284
187	393	1281
188	395	1279
189	397	1276
190	399	1273
191	401	1272
192	404	1271
193	407	1271
194	409	1270
195	411	1267
196	413	1264
197	415	1262
198	417	1260
199	419	1259
200	422	1259
201	425	1259
202	427	1257
203	429	1254
204	431	1252
205	433	1249
206	435	1247
207	438	1246
208	439	1244
209	441	1241
210	443	1238
211	445	1236
212	447	1234
213	449	1231
214	452	1230
215	454	1227
216	456	1225
217	458	1224
218	461	1223
219	463	1222
220	466	1221
221	468	1219
222	470	1217
223	472	1215
224	474	1212
225	476	1210
226	478	1208
227	480	1206
228	482	1204
229	485	1202
230	487	1199
231	488	1197
232	490	1194
233	492	1192
234	494	1189
235	496	1187
236	498	1184
237	500	1182
238	502	1179
239	504	1177
240	506	1174
241	508	1173
242	510	1170
243	512	1168
244	514	1165
245	516	1163
246	519	1161
247	521	1159
248	523	1157
249	525	1155
250	527	1152
251	528	1150
252	530	1147
253	533	1145
254	534	1143
255	536	1141
256	538	1138
257	541	1136
258	542	1134
259	544	1131
260	546	1129
261	548	1127
262	551	1125
263	553	1123
264	555	1121
265	557	1119
266	559	1117
267	561	1115
268	563	1112
269	565	1110
270	567	1108
271	569	1106
272	571	1104
273	573	1101
274	575	1099
275	577	1096
276	579	1094
277	581	1092
278	583	1089
279	585	1087
280	587	1085
281	589	1083
282	591	1080
283	593	1078
284	595	1075
285	597	1074
286	599	1072
287	601	1070
288	603	1067
289	606	1065
290	608	1063
291	610	1061
292	612	1059
293	614	1057
294	617	1056
295	619	1055
296	622	1054
297	625	1054
298	628	1052
299	631	1051
300	633	1049
301	635	1047
302	637	1045
303	639	1042
304	640	1040
305	642	1037
306	644	1035
307	646	1033
308	648	1031
309	650	1028
310	652	1026
311	654	1023
312	656	1021
313	658	1018
314	660	1016
315	662	1014
316	664	1012
317	666	1010
318	668	1007
319	670	1005
320	672	1002
321	674	1000
322	676	998
323	679	997
324	681	995
325	683	993
326	685	991
327	687	988
328	689	986
329	691	984
330	693	982
331	695	980
332	697	978
333	699	976
334	701	973
335	703	971
336	705	969
337	707	967
338	709	965
339	711	963
340	713	960
341	715	958
342	717	956
343	720	954
344	722	952
345	725	951
346	727	950
347	730	948
348	733	947
349	735	946
350	738	944
351	741	943
352	743	941
353	746	940
354	749	939
355	753	939
356	756	938
357	758	936
358	761	935
359	764	934
360	767	932
361	769	931
362	772	930
363	775	928
364	777	926
365	780	925
366	783	924
367	785	922
368	788	921
369	791	920
370	794	918
371	797	917
372	799	915
373	802	913
374	805	912
375	807	910
376	810	909
377	812	907
378	815	905
379	817	904
380	820	902
381	822	900
382	825	898
383	828	897
384	831	896
385	834	895
386	838	894
387	841	893
388	844	891
389	846	890
390	849	888
391	852	886
392	854	885
393	858	884
394	860	882
395	862	880
396	865	878
397	868	876
398	871	875
399	873	873
400	876	872
401	879	870
402	881	868
403	884	867
404	886	865
405	889	862
406	891	860
407	893	858
408	896	856
409	898	854
410	900	852
411	903	850
412	905	848
413	908	847
414	911	845
415	913	843
416	915	841
417	919	840
418	921	838
419	924	836
420	927	834
421	929	832
422	932	831
423	935	829
424	937	827
425	940	825
426	943	823
427	945	821
428	948	819
429	950	818
430	953	816
431	956	814
432	959	812
433	961	811
434	964	809
435	967	807
436	969	805
437	972	803
438	975	801
439	977	800
440	980	798
441	983	796
442	985	794
443	988	792
444	990	790
445	993	788
446	996	786
447	999	785
448	1002	783
449	1004	781
450	1007	779
451	1010	777
452	1013	776
453	1016	774
454	1018	772
455	1021	770
456	1023	768
457	1026	766
458	1029	764
459	1031	762
460	1033	760
461	1036	758
462	1038	756
463	1041	754
464	1044	752
465	1046	750
466	1049	748
467	1052	746
468	1055	744
469	1057	742
